,l1_title,l1_url,l1_pageid,l2_url,l2_id,l2_title,l2_pageid,l3_url,l3_id,l3_title,l3_pageid,l4_url,l4_id,l4_title,l4_pageid,l5_url,l5_id,l5_title,l5_pageid
122,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/148,4.1.3,制定项目章程：输出,148,/chapter/153,4.1.3.1,项目章程,153
123,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/145,4.1,制定项目章程,145,/chapter/148,4.1.3,制定项目章程：输出,148,/chapter/154,4.1.3.2,假设日志,154
124,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/160,4.2.1,制定项目管理计划：输入,160,/chapter/161,4.2.1.1,项目章程,161
125,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/160,4.2.1,制定项目管理计划：输入,160,/chapter/162,4.2.1.2,其他过程的输出,162
126,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/160,4.2.1,制定项目管理计划：输入,160,/chapter/163,4.2.1.3,事业环境因素,163
127,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/160,4.2.1,制定项目管理计划：输入,160,/chapter/164,4.2.1.4,组织过程资产,164
128,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/165,4.2.2,制定项目管理计划：工具与技术,165,/chapter/166,4.2.2.1,专家判断,166
129,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/165,4.2.2,制定项目管理计划：工具与技术,165,/chapter/167,4.2.2.2,数据收集,167
130,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/165,4.2.2,制定项目管理计划：工具与技术,165,/chapter/168,4.2.2.3,人际关系与团队技能,168
131,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/165,4.2.2,制定项目管理计划：工具与技术,165,/chapter/169,4.2.2.4,会议,169
132,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/159,4.2,制定项目管理计划,159,/chapter/170,4.2.3,制定项目管理计划：输出,170,/chapter/171,4.2.3.1,项目管理计划,171
133,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/172,4.3,指导与管理项目工作,172,/chapter/173,4.3.1,指导与管理项目工作：输入,173,/chapter/174,4.3.1.1,项目管理计划,174
134,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/172,4.3,指导与管理项目工作,172,/chapter/173,4.3.1,指导与管理项目工作：输入,173,/chapter/175,4.3.1.2,项目文件,175
135,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/172,4.3,指导与管理项目工作,172,/chapter/173,4.3.1,指导与管理项目工作：输入,173,/chapter/176,4.3.1.3,批准的变更请求,176
136,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/144,4,项目整合管理,144,/chapter/172,4.3,指导与管理项目工作,172,/chapter/173,4.3.1,指导与管理项目工作：输入,173,/chapter/177,4.3.1.4,事业环境因素,177
